1852 6480
1 174 -100
1 413 100
1 882 -100
1 940 -100
1 1470 100
1 1673 -100
1 1780 -100
2 575 -100
2 738 -100
2 842 100
2 890 -100
2 1022 -100
2 1251 -100
3 783 -100
3 842 100
3 911 -100
3 929 -100
3 1107 -100
4 7 -100
4 413 -44
4 908 -100
4 921 -100
4 1726 -100
5 224 -100
5 474 -100
5 658 -100
5 842 -44
5 1753 -100
6 65 -100
6 842 -44
6 1260 -100
6 1629 -100
6 1677 -100
7 226 -100
7 413 -44
7 1049 -100
7 1317 -100
8 558 -100
8 832 -100
8 842 100
8 1148 100
8 1451 -100
8 1841 -100
9 58 -100
9 322 -100
9 413 100
9 1646 -100
9 1717 -100
9 1722 -100
10 59 -100
10 699 -100
10 842 100
10 846 -100
10 960 -100
10 1133 -100
10 1136 -100
11 339 100
11 413 100
11 759 -100
11 1309 100
11 1397 -100
11 1424 -100
11 1662 -100
12 800 -100
12 842 -44
12 1501 -100
12 1512 -100
12 1715 -100
12 1756 -100
13 69 -100
13 708 -100
13 842 100
13 1415 -100
13 1751 -100
14 149 -100
14 413 -44
14 1132 -100
14 1323 -100
14 1657 -100
15 842 -44
15 1379 -100
15 1635 -100
15 1744 -100
15 1796 -100
16 452 -100
16 783 -100
16 842 -44
16 1396 -100
16 1517 -100
17 758 -100
17 842 -44
17 1070 -100
17 1171 -100
17 1284 -100
17 1306 -100
18 680 -100
18 842 -44
18 865 -100
18 1066 -100
18 1378 -100
18 1740 -100
19 842 100
19 884 -100
19 887 100
19 939 -100
19 1329 -100
19 1671 100
19 1777 -100
20 413 -44
20 528 -100
20 826 -100
20 1627 -100
20 1680 -100
21 268 -100
21 501 -100
21 842 100
21 932 -100
21 1080 -100
21 1421 -100
22 413 100
22 513 -100
22 791 -100
22 912 -100
22 1076 -100
23 201 -100
23 225 -100
23 395 -100
23 558 -100
23 842 -44
23 1064 -100
24 291 -100
24 842 -44
24 910 -100
24 1105 -100
24 1599 -100
25 239 -100
25 358 -100
25 413 100
25 571 -100
25 649 -100
25 717 -100
25 842 -44
25 1084 -100
25 1190 -100
25 1587 -100
25 1617 -100
25 1692 -100
26 382 -100
26 413 100
26 532 -100
26 577 -100
26 1220 -100
26 1735 -100
27 524 -100
27 547 -100
27 781 -100
27 842 100
27 1203 -100
27 1739 100
27 1819 -100
28 413 100
28 818 -100
28 1009 -100
28 1106 -100
28 1114 100
28 1160 -100
28 1843 -100
29 398 -100
29 842 -44
29 879 -100
29 918 -100
29 1846 -100
30 683 -100
30 842 -44
30 1398 -100
30 1476 -100
30 1765 -100
30 1817 -100
31 501 -100
31 740 -100
31 842 100
31 932 -100
31 1080 -100
31 1421 -100
32 553 -100
32 781 -100
32 842 100
32 1222 -100
32 1414 -100
